2018-08-03 16:24:14.539 INFO  22202 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'handlebars.resolver-pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsValueResolversProperties' of type [pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsValueResolversProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:14.570 INFO  22233 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'handlebars-pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsProperties' of type [pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:14.573 INFO  22236 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsAutoConfiguration$HandlebarsViewResolverConfiguration' of type [pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsAutoConfiguration$HandlebarsViewResolverConfiguration$$EnhancerBySpringCGLIB$$b10db879] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:14.681 INFO  22344 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'handlebarsViewResolver' of type [com.github.jknack.handlebars.springmvc.HandlebarsViewResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:15.077 INFO  22740 --- [ main ] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-08-03 16:24:15.093 INFO  22756 --- [ main ] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-08-03 16:24:15.102 INFO  22765 --- [ main ] o.a.catalina.core.StandardService - Starting service [Tomcat]
2018-08-03 16:24:15.103 INFO  22766 --- [ main ] o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-08-03 16:24:15.113 INFO  22776 --- [ localhost-startStop-1 ] o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/woowatechcamp_6/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-08-03 16:24:15.215 INFO  22878 --- [ localhost-startStop-1 ] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-08-03 16:24:15.216 INFO  22879 --- [ localhost-startStop-1 ] o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1968 ms
2018-08-03 16:24:15.352 INFO  23015 --- [ localhost-startStop-1 ] o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2018-08-03 16:24:15.355 INFO  23018 --- [ localhost-startStop-1 ] o.s.b.w.s.ServletRegistrationBean - Servlet webServlet mapped to [/h2-console/*]
2018-08-03 16:24:15.357 INFO  23020 --- [ localhost-startStop-1 ] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-08-03 16:24:15.358 INFO  23021 --- [ localhost-startStop-1 ] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-08-03 16:24:15.358 INFO  23021 --- [ localhost-startStop-1 ] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-08-03 16:24:15.358 INFO  23021 --- [ localhost-startStop-1 ] o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-08-03 16:24:15.398 INFO  23061 --- [ main ] n.r.s.b.l.a.LogbackAccessContext - Configured the Logback-access: context=[default], config=[classpath:net/rakugakibox/spring/boot/logback/access/logback-access-spring.xml]
2018-08-03 16:24:15.519 INFO  23182 --- [ main ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2018-08-03 16:24:15.721 INFO  23384 --- [ main ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2018-08-03 16:24:15.770 INFO  23433 --- [ main ] o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-08-03 16:24:15.794 INFO  23457 --- [ main ] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-08-03 16:24:15.870 INFO  23533 --- [ main ] org.hibernate.Version - HHH000412: Hibernate Core {5.2.17.Final}
2018-08-03 16:24:15.872 INFO  23535 --- [ main ] org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-08-03 16:24:15.907 INFO  23570 --- [ main ] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-08-03 16:24:16.079 INFO  23742 --- [ main ] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-08-03 16:24:16.679 INFO  24342 --- [ main ] o.h.t.s.internal.SchemaCreatorImpl - HHH000476: Executing import script 'ScriptSourceInputFromUrl(file:/Users/woowatechcamp_6/Documents/day1/baeminchan/out/production/resources/import.sql)'
2018-08-03 16:24:16.704 INFO  24367 --- [ main ] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-08-03 16:24:17.570 INFO  25233 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/admin/category],methods=[POST]}" onto public codesquad.util.CustomResponse<codesquad.domain.category.Category> codesquad.controller.ApiAdminController.createCategory(codesquad.dto.user.UserSessionDto,codesquad.dto.category.CategoryDto)
2018-08-03 16:24:17.571 INFO  25234 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/admin/category/{cid}],methods=[DELETE]}" onto public codesquad.util.CustomResponse<codesquad.domain.category.Category> codesquad.controller.ApiAdminController.deleteCategory(codesquad.dto.user.UserSessionDto,long)
2018-08-03 16:24:17.571 INFO  25234 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/admin/category],methods=[PUT]}" onto public codesquad.util.CustomResponse<codesquad.domain.category.Category> codesquad.controller.ApiAdminController.updateCategory(codesquad.dto.user.UserSessionDto,codesquad.dto.category.CategoryDto)
2018-08-03 16:24:17.573 INFO  25236 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/category],methods=[GET]}" onto public codesquad.util.CustomResponse<java.util.List<codesquad.domain.category.Category>> codesquad.controller.ApiCategoryController.getCategoryList()
2018-08-03 16:24:17.574 INFO  25237 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users],methods=[POST]}" onto public org.springframework.http.ResponseEntity<codesquad.domain.user.NormalUser> codesquad.controller.ApiUserController.create(codesquad.dto.user.JoinUserDto,javax.servlet.http.HttpSession)
2018-08-03 16:24:17.575 INFO  25238 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/login],methods=[POST]}" onto public org.springframework.http.ResponseEntity<codesquad.domain.user.NormalUser> codesquad.controller.ApiUserController.login(javax.servlet.http.HttpSession,codesquad.dto.user.LoginUserDto)
2018-08-03 16:24:17.575 INFO  25238 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/logout],methods=[GET]}" onto public org.springframework.http.ResponseEntity<codesquad.domain.user.NormalUser> codesquad.controller.ApiUserController.logout(javax.servlet.http.HttpSession,codesquad.dto.user.LoginUserDto)
2018-08-03 16:24:17.576 INFO  25239 --- [ main ] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[],methods=[GET]}" onto public java.lang.String codesquad.controller.HomeController.home(org.springframework.ui.Model)
